'6129300408633996503,4,看的出来原来林允也是个女汉子
'6131317109539033460,10,陈赫你和贾玲一组有什么感想
'6131325945528265938,19,永远喜欢看你的小品电影，么么
'6129302974487934082,231,贾玲上节目效果真是棒棒哒，欢乐指数直线上升
'6129307836650968338,9,很享受着看着跑男，这样快乐的时光真好 
'6129300431627009957,265,贾玲太有意思   贾玲好可爱
'6129312175808239188,80,这样的节目真心觉得很不错，值得称赞
'6129300740696879347,206,喜欢贾玲 女汉子
'6129300455777818872,253,觉得贾玲才是最美的那个公主
'6129313719819599748,191,贾玲绝对是一个另类女神
'6129302420549194177,3,每一期都是经过精心雕琢的，看着真的气场十足
'6131317956910073816,6,么么哒陈赫，贾玲。。
'6129300478456420630,220,贾玲真的是美的不要不要的
'6129310473055031470,116,看着baby的装扮真的好喜欢呢，觉得好赞
'6131317982255199066,34,广东人民发来贺电，陈赫帅呆了！
'6129300391646904177,226,开始真的好像相亲噢，兄弟们都在乐呦
'6129312246826349100,91,我喜欢这样的节目，看着内心激动不已
'6129300662960859741,118,林允最近参加了好多综艺节目啊
'6129300797420632716,1,这特效 100分
'6129309388283396014,74,真的好喜欢这样的场景布置
'6131318033643659141,39,广州人民发来贺电，陈赫太帅了！
'6129298474079438570,3,为啥没有蓝光呢？？
'6129298527242229970,1,超清看不清楚
'6129298851901291832,55,哈哈哈
'6129298930590629291,3,这么多女神，最出彩的竟然是贾玲-_-#
'6129298941600677300,1,我也想问
'6129299160972206957,25,来吧
'6129299240637617053,1,终于等到了
'6129299543772543935,1,你是猪吗
'6129300232025483339,177,期待马思纯
'6129300339596802109,1,这特效...
'6129300499927056365,3,以前我和我媳妇可爱看跑男了。………………
'6129300688582817334,3,爱贾玲
'6129301427343408442,5,喜欢他来了请闭眼的马思纯
'6129301585039635661,210,为什么没有宋小宝呢？
'6129301660290860830,83,朱祝欣
'6129301857544781621,143,蓝光就这样的画质 》】
'6129303364426978870,258,永远支持，邓超，鹿晗。
'6129305942272586252,119,现在才是完整的
'6129306296364115004,180,何穗我永远的女神
'6129306711784770651,26,醉了
'6129306748689216856,4,林允在赵子龙演轻衣非常好看
'6129307266649235232,92,有人吗
'6129307299594270547,169,张钧甯女神+++++
'6129309574588952989,1,梓兮
'6129309575104870098,185,刘壮实   刘壮实  是谁 ？
'6129309608220107149,90,王晨 你有点刘佳了
'6129309874896925362,266,恶魔之谜？这是要不要不要不我想你说了一个好朋友就...
'6129309925983548113,111,烦恼就会你高兴
'6129310041528262464,160,更多的地方工业风格给人的发光体付出代价……今天就...
'6129310186497203725,99,啦啦啦啦啦啦
'6129313295285962070,1,邹逸涛你在吗
'6129315916553998885,1,你们的超清 清吗？
'6129318636194027539,6,关弹幕保智商
'6129318920379250150,400,喜欢贾玲的我都点成黄的
'6129322620980117408,3,这画质也是醉了
'6129330227926095474,180,冲着贾玲来的
'6129335375683466336,5,好看
'6129337241242781445,151,噢NO，吓到我了
'6129337340186408840,188,林允没有综艺感
'6129339097397246137,12,就是对林允喜欢不起来
'6129347728244299559,2,贾玲女神
'6129350582605371481,1,超好笑
'6129352641535876874,76,蓝光。走起
'6129354413339917358,35,李帅
'6129366973682364244,4,只为了看贾玲
'6129370583879203937,68,精彩的来啦。
'6129375281804819986,5,胡歌他们请不起
'6129390947874191553,108,柔软的胖子
'6129392499862961354,2,马欣悦马欣悦马欣悦马欣悦马欣悦马欣悦马欣悦马欣悦
'6129402704538709102,2,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
'6129405709643077562,1,鹿晗最帅？
'6129407640676679612,2,又玩泥巴
'6129412946173433722,83,你们好无聊
'6129413338205434183,73,陈赫
'6129417424272441075,11,邓超加油
'6129421254758318791,137,真心讨厌林允
'6129422483081207426,3,哈哈哈哈哈
'6129424497398701571,2,章凯打屁王
'6129425370359346827,62,好想让胡歌来
'6129425684534729519,193,那是林允儿演的轻衣。好吧？
'6129426175988519899,14,鹿哥的镜头好少
'6129426236910778116,79,我爱超哥
'6129426915013497773,3,开头环节就是复制RM，唉！
'6129302504418497055,10,这样优质的综艺栏目值得现在的年轻人学习 
'6129307908373566811,79,我觉得每一位公主的选择都是正确的呢 
'6129309094082332424,105,邓超看到林允时候的表情 坏透了
'6129301265904654611,238,跑男就是开心果，根本停不下来。
'6129300430940357045,263,就知道凯凯对面坐的一定是AB，超级配
'6129300566135355726,5,每次看跑男的时候 都特别的开心
'6131318057669839009,25,爱死你了贾玲。。
'6129300464637400403,213,跑男加油，注意自己的安全
'6129307952521574889,5,但是 没想到的是 贾玲居然是艳后
'6129309455388057863,3,看着他们每一个战士的服饰我觉得都很有气质
'6129304602305703088,110,我也很爱埃及艳后 惊艳了我
'6129303096252780881,3,这次来的嘉宾都很漂亮啊
'6129310594425606454,111,经过了这么久的时间磨合我认为真的很有默契
'6129312517989149624,162,笨熊还么睡还在奋斗啊
'6131325216712217776,41,陈赫，贾玲来弹幕，想问陈赫，你为什么是天才
'6129309512334133385,141,喜欢看着他们一身盔甲斗篷帅气的风格
'6129300633612114358,8,郑恺的这个发型真的是醉了
'6129308034081045117,5,还是最喜欢贾玲这样的女汉子多一些
'6129298455846799059,1,第一是我的
'6129298777729036629,1,谁能告诉我为啥这么模糊？
'6129298799125406164,141,我就只喜欢邓超和李晨。其他都不喜欢
'6129298902737298010,68,有人吗
'6129298917060861445,131,还有谁！！！
'6129299053988109980,167,好像视频只有高清的，右下角有写
'6129299240169055162,96,真模糊
'6129299360783448819,3,不高兴
'6129299393482403846,4,没蓝光
'6129299462395864267,14,第一
'6129299853577627293,122,没有蓝光
'6129300018338277214,134,这是超清？    为啥还是这么昏
'6129300164244305855,156,超清看不清+1
'6129300458291413462,1,这期比上期清楚多了，再不搞笑以后就不看了
'6129301263530678542,95,看的电视，笑翻了这一期
'6129301899251708133,3,好好笑啊
'6129302162746457359,202,好喜欢赤赤
'6129303712584771792,185,静静的看你们写弹幕
'6129303802832386414,1,我要被卡死了
'6129304475566422836,3,我家小侄女早早就等着看跑男呢~
'6129305933145774524,42,贾玲很美啊
'6129306497433653764,177,何穗，何穗，何穗，何穗
'6129307866480853515,67,怎么哪都有林允 。。。无语
'6129308080834951863,1,犬夜叉
'6129308620527426075,184,支持我鹿哥
'6129308755966897750,78,顶陈赫    顶   力挺
'6129309354081990611,203,我要看宝宝，宝宝在哪里！？
'6129310659291716568,199,神秘的e王国已经开始接受预订了！
'6129311155972821619,17,鹿晗鹿晗。  支持你   加油
'6129311553742618003,4,不是说有小猪的么
'6129311727730896998,4,终于等到你，还好我没放弃！
'6129311877355354386,203,林允和贾玲要火了！
'6129313766763474892,193,武神赵子龙的是林允儿不是林允
'6129315281052809733,1,我
'6129316037747177203,4,你们的超清，清不清？你们的超清，清不清？你们的超...
'6129316077636232472,14,不清
'6129316477961578067,3,为了鹿晗来的，鹿晗我看好你饿😘😘😘
'6129316894606966979,3,拜托这是林允，不是演武神里面的林允儿。搞清楚
'6129317048223356339,6,还是犬夜叉
'6129318984027649179,18,话可真多让不让的都整出来了一综艺节目给你们看魔障...
'6129322667340801874,1,画质太渣了
'6129324676562189024,1,萝莉！！！
'6129327704704110850,16,  超哥
'6129329078900694038,19,RM同款
'6129332450366138134,4,犬夜叉BGM上线
'6129369728445493975,1,蓝光路过
'6129402762294275200,4,好喜欢哧哧
'6129402892334476468,3,哈哈哈哈哈
'6129413246657568929,2,哈哈
'6129414703757580841,31,这一期肯定有意思
'6129419858246809003,9,没有无限挑战好看
'6129421455661275815,2,no
'6129423549826946712,51,杨颖加油
'6129426876097707259,3,我喜欢
'6129426967115157500,2,陈赫胖胖哒
'6129428350387011139,5,hehe
'6129430970959991815,5,又是这开头
'6129433996574514170,7,好看
'6129435465659005113,114,这期韩版running man看过
'6129435627542198573,1,我们鹿爷好帅
'6129438881093155887,4,友谊的小床说震就震
'6129441669604880856,35,赤赤
'6129441974602069240,6,超清就是高清
'6129443928992562426,71,支持面贾玲
'6129444670516156049,1,喜欢李晨
'6129310633475775427,72,这样的家庭成员真的是缺一不可
'6131318140326975821,52,看着陈赫好帅啊，爱死你了
'6129300396970682659,156,真的没想到这期来了这么多大美女
'6131318189509400611,6,女汉纸贾玲么么哒
'6129302644798873456,13,这样坚持不懈的风格真的很不错 
'6129309261049191111,9,感觉最后撕名牌的时候 公主都已经疯了
'6131326201920672166,4,喜欢你啊，陈赫、
'6129301009972407326,172,声音好想王诗龄
'6129300866564959082,190,女神马思纯！
'6129308148124167175,60,没想到 当陈赫看到贾玲的时候我想他的内心是崩溃的呢...
'6129309606616658361,167,好喜欢看超哥，喜欢超哥的一切
'6131318237743896681,4,可以靠脸，但要靠才华的帅锅陈赫~~~
'6129304835352616110,169,小女孩好可爱
'6129309310955992542,5,看着这几个人还是让人蛮期待的
'6131318263067889987,49,大爱陈赫贾玲啦，么么哒
'6129298903251997156,153,23:24:21有超清了，以前都是高清
'6129299824967073031,47,前排
'6129300172490325632,126,既然没有蓝光
'6129300177235284049,147,为了跑男我游戏都不玩了
'6129300417236359367,155,女神BOBY
'6129300624124588161,104,蓝光真清晰🌚🌚🌚
'6129300636285097502,115,有点无聊
'6129300715125422601,131, 又能看了，鹿晗爱你
'6129300746284897003,3,超清蓝光都有啊 
'6129300758946461315,1,有蓝光呀
'6129301007882419079,146,这孩子是谁
'6129301136974707738,119,这画质感觉再也不会爱了😷
'6129301348075253142,91,哈哈\\(^o^)/
'6129301370913244621,5,水精球……………
'6129301539599750858,159,埃及艳后不是女王吗
'6129301632535944796,74,我的就是蓝光
'6129301907964510070,47,蓝光清楚
'6129302082949658370,3,好喜欢
'6129302264701416048,63,我是蓝光
'6129302276903881189,138,蓝光的扣111111
'6129303998233645480,3,蓝光
'6129304017909125575,23,夏天
'6129305498888515622,1,猥琐佬
'6129305940761426155,11,林允很好看吗，没感觉
'6129307075262099917,1,赵子龙里面的轻衣挺好看，美美哒
'6129307785022068437,1,我能说我蓝光？
'6129308093174601237,108,蓝光任性 哈哈
'6129308220747330033,49,好像犬夜叉
'6129309521402218644,44,蓝光飘过
'6129310341875190674,3,这女娃who？
'6129310524254894623,11,贾玲已经被我承包了[xl14z]
'6129310856969270544,87,很好喝的邓超
'6129311990780866899,120,喜欢邓超的举爪
'6129317090862633362,89,开心，终于换走包贝尔
'6129317727439499947,1,刚才大家看见我没？
'6129318430723440096,25,我爱看
'6129322816737725614,82,老邓头
'6129324093046445572,79,嘉玲不靠颜值靠实力
'6129326538343662937,4,陈赫，我来了，为你而来
'6129326772448747266,2,夏洛克女儿
'6129326810942832540,22,夏天
'6129329237460957116,12,怎么还是抄袭
'6129331407595067621,8,好好看
'6129333352527376633,42,冒个泡
'6129338899447051648,60,我也是醉啦
'6129362667590562266,67,牙床  6官陈赫
'6129369822143265719,7,aā啊啊啊啊啊……
'6129372986425662296,26,嗯
'6129393410035497661,40,嗯嗯
'6129398232240435661,102,baby加油
'6129406085860772342,60,鹿晗好帅呀！帅帅帅帅帅帅帅帅帅帅帅帅帅帅帅帅帅帅...
'6129411312868290755,119,宝贝你就是最美小公主
'6129413723130508347,89,超哥，你的表情太猥琐了【善意的微笑
'6129417070646477018,1,最后谁赢了？
'6129417350167477939,6,郑恺喜欢baby
'6129421777279302796,14,啊啊，鹿哥
'6129422122362687730,37,为啥要请林允?还没有允儿好看
'6129423891565195342,79,讨厌鹿晗的站住，我们打一架
'6129428443656969842,41,公主与其实
'6129428471452616040,17,呵呵
'6129430414958876332,48,有人知道吗这期是跟韩国吗？？？？
'6129430419260996049,12,啦啦啦
'6129430814700002729,6,最令人
'6129430965964575742,8,这集笑点就是陈赫和贾玲！
'6129432305314900964,27,qu 
'6129433897886724434,9,呵呵呵，，最美丽 智慧
'6129435717271108135,7,鹿晗鹿晗鹿晗鹿晗鹿晗鹿晗
'6129436076752141815,3,鹿晗最man
'6129437772795693167,6,永远爱我们家小鹿
'6129438588167339052,42,因为被星爷选中的人
'6129439000615278742,5,讨厌林允的赞我！！
'6129300672694639086,122,大家好期待公主啊
'6129303330445938262,182,林允笑的很可爱啊
'6129304900977907963,1,小孩子的声音就是好听
'6129308189198990095,53,不过贾玲的出场方式真的是有点吓人 
'6129300988840278898,77,何穗的装扮真的很美 很有公主的气质
'6129312550243341070,77,小超超...
'6129299168885658437,3,现在是4月22号十一点半
'6129299323986984821,3,弹幕呢？？？？？？？？？？？？？？？？？？？？？...
'6129300679180237279,44,看不清，用蓝光很清楚的
'6129301155090085994,2,顶啊！
'6129301360016436644,112,蓝光有什么好的
'6129302127040188553,37,第一个
